CD Number,Title,Description (Summary),Notes,Links,Terms of Use,Data creator,Date of collection,Date of creation,Geography,Subjects,Year of creation (start),Year of creation (end),Cartographer,Copyright Holder,Date edited,Data Type,Datum,Edition,Formal Metadata,Place of publication,Projection,Publisher,Require acknowledgement to use,Require Permission to Use,Scale,Temporal extent
133-1,"Toronto Property Data Maps (PDMs) - South, West, Index","Requests must be made to map library staff at above email address and a licence agreement signed. Combines topography and parcel mapping. The series provides a base for thematic mapping services and other published hardcopy products.Depicts the following features: building envelopes, building outlines, railway lines, major watercourses, municipal addresses, curbs, park names, street names, property lines, right of way, boundaries, etc.",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.","Work & Emergency Services, City of Toronto",,2002,TORONTO,ADDRESSES; BUILDINGS - FOOTPRINTS; LAND USE; PARCELS; PARKS; PROPERTY BOUNDARIES; STREETS; TRAIN; TRANSPORTATION,,,,"City of Toronto, Works & Emergency Services",,Vector,,,,Toronto,,City of Toronto,Citation,Signed,,2002
133-2,"Toronto Property Data Maps (PDMs) - East, North, Index","Requests must be made to map library staff at above email address and a licence agreement signed. Combines topography and parcel mapping. The series provides a base for thematic mapping services and other published hardcopy products.Depicts the following features: building envelopes, building outlines, railway lines, major watercourses, municipal addresses, curbs, park names, street names, property lines, right of way, boundaries, etc.",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.","Work & Emergency Services, City of Toronto",,2002,TORONTO,ADDRESSES; BUILDINGS - FOOTPRINTS; LAND USE; PARCELS; PARKS; PROPERTY BOUNDARIES; STREETS; TRAIN; TRANSPORTATION,,,,"City of Toronto, Works & Emergency Services",,Vector,,,,Toronto,,City of Toronto,Citation,Signed,,2002
134,Magyarorszag Hungary,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106686672606196 ,,Cartographia Kft,,,,,,,,,,,,,,,,,,,,
135,"Osterreich 1:150,000 [Great Road Atlas]",,,,"Restricted to U of T faculty, staff, and students.",Freytag & Berndt,,2001,AUSTRIA; EUROPE,BOUNDARIES; BOUNDARIES - POLITICAL; CONTOURS; ELEVATION; GAZETTEERS; HIGHWAYS; METADATA; PARKS; PLACENAMES; STREETS; TOURISM; TRAIN,,,,,,Raster,,,,"Wien, Austria",,Freytag & Berndt,Written,None,,2001
136,Klimaatlas Bundesrepublik Deutschland,,,,"Restricted to U of T faculty, staff, and students.",Deutscher Wetterdienst,,2003,GERMANY,CLIMATE; MAPS; METADATA; THEMATIC MAPPING,,,,,,Vector,,2003,,,,Deutscher Wetterdienst,None,None,,2003
137,Arc Hydro GIS for Water Resources,,,,,ESRI Press,,,,,,,,,,,,,,,,,,,,
138,Hydrologischer Atlas von Deutschland,"The Hydrological Atlas of Germany (HAD) is based on nation-wide comparable data for the whole of Germany using up to date hydrological models and regionalisation methods. It contains the chapters: hydrometeorology, surface waters, soil water, groundwater, water budget and hydrology - ecology- man. The Atlas is a modern and open information system, combining up to date methods, scientific transparency and new information technologies. There are also a paper edition and a CD-ROM.",,,"Restricted to U of T faculty, staff, and students.",Federal Institute for Hydrology,,2001,GERMANY,DRAINAGE; HYDROGRAPHY; HYDROLOGY; METADATA; THEMATIC MAPPING; WATER; WETLANDS,,,,,,Vector,,2001,,,,,Citation,None,,2001
139,Interaktivni Atlas Slovenije,"The INTERAKTIVNI ATLAS SLOVENIJE compact disk was published in two versions:Personal Version contains the following menus: Maps, Index of Names, Heritage, Tools, Features, Help, About the Project Professional Version contains the following menus in addition to those in the Personal Version: Addresses (municipalities, settlements, streets, houses) and Satellite (GPS) Navigation.",,,"Restricted to U of T faculty, staff, and students.",Unknown,,2000,SLOVENIA,BOUNDARIES; CULTURAL; MAPS; METADATA; MUNICIPALITIES; NAVIGATION; PROPERTY BOUNDARIES; SATELLITE IMAGES; STREETS; THEMATIC MAPPING,,,,,,Raster; Vector,,,,,,Praeger Publisher,Citation,None,,2000
140,Undersea with GIS,"In the same way GIS has helped make analysis and mapping of the earth's surface more accessible and powerful, GIS technology allows experts to see that large portion of the planet that is underwater. This collection of works from experts in marine biology, oceanography, aquatic resource management, and other fields charts the ways in which GIS is beginning to help improve understanding of the oceans.",,,"Restricted to U of T faculty, staff, and students.",ESRI Press,,2001,OCEANS,BATHYMETRY; GEOGRAPHIC INFORMATION SYSTEMS; MAPS; METADATA; NAVIGATION; OCEANOGRAPHY; THEMATIC MAPPING; WATER,,,,ESRI Press,,Raster; Vector,,,,,,,Citation,None,,2001
141,Atlante Storico Multimediale di Bologna 1. Dagli Etruschi al Duecento,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106332416706196,,"Bocchi, Francesca",,,,,,,,,,,,,,,,,,,,
142,Introducing Arcview GIS,[Note: Arcview GIS is now obsolete.],Contains data for tutorials,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991105943577906196,,ESRI,,,,,,,,,,,,,,,,,,,,
143,Forest Management Units,"A Forest Management Unit (FMU) is a designated administrative area that depicts a forest management boundary. The area within these boundaries are used for forest resource planning and management purposes of the Crown Forest Sustainability Act. An FMU is primarily identified by an assigned official name and a unique numeric code. The Forest Management Branch - Forest Management Planning Section of the Ontario Ministry of Natural Resources, approves FMU boundaries, codes and official names.",,,"Restricted to U of T faculty, staff, and students.",Ontario Ministry of Natural Resources - OMNR,,2000,ONTARIO,FORESTRY,,,,,,Vector,,,,,,Ontario Ministry of Natural Resources - OMNR,Citation,None,,2000
144,ArcAtlas: Our Earth,"ArcAtlas: Our Earth contains global geographic and attribute data at three scales (1:10,000,000 for Europe, 1:20,000,000 for North and South America, Africa and Antarctica 1:25,000,000 for Asia and Australia). The data set was produced by Environmental Systems Research Institute (ESRI) and can be used with the ArcView and ArcInfo software packages.",,,"Restricted to U of T faculty, staff, and students.",ESRI,,1996,AFRICA; ANTARCTIC; ARCTIC; ASIA; AUSTRALIA; NORTH AMERICA (ENTITY); SOUTH AMERICA,GEOGRAPHIC INFORMATION SYSTEMS,,,,,,Vector,,,,,,,Citation,None,,1996
146,Iran. Native Topographic Maps.,"23 topographic maps of Iran at 1:250,000 scale.",,,"Restricted to U of T faculty, staff, and students.",OMNI Resources,,2000,IRAN,BOUNDARIES; CONTOURS; GEOGRAPHICAL NAMES; TOPOGRAPHY,2000,,,Omnimap.com,,Raster,,,,,,OMNI Resources,Citation,None,"1:250,000",
147,Chicago Map,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106751614106196,,Rand McNally,,,,,,,,,,,,,,,,,,,,
148,Edmonton. Census Enumeration Areas. 1981.,"covers Edmonton North, South and East as well as Strathcona.",,,"Restricted to U of T faculty, staff, and students.",Statistics Canada,,,EDMONTON,CENSUS,,,Statistics Canada,,,Vector,,,,,,Statistics Canada,None,None,,
149,1880 York County Maps,,"3 maps: North, SE, SWD (and 3 rectified maps)",,,Unknown,,,,,,,,,,,,,,,,,,,,
150,Atlas de la Poblacion Espanola,,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106197757306196,,"Resques Velasco, Pedro E.",,,,,,,,,,,,,,,,,,,,
151,ArcView GIS Exercise Book [Companion CD],,,https://librarysearch.library.utoronto.ca/permalink/01UTORONTO_INST/14bjeso/alma991106757883406196,,"Hohl, Pat",,,,,,,,,,,,,,,,,,,,
152,Toronto Aerial Photo 1965,An aerial photo of the entire Metropolitan Toronto. 1965.,,,"Restricted to U of T faculty, staff, and students.",Unknown,,1965,TORONTO,AIR PHOTOS; AIR PHOTOS - BLACK AND WHITE,1965,,Unknown,,,Raster,,,,,,Unknown,None,None,1 inch = 2640 ft.,1965
153,"Getting to Know ArcGIS desktop : basics of ArcView, ArcEditor and ArcInfo","Getting to Know ArcGIS Desktop is a workbook and CD for learning ArcGIS, the newest GIS technology from ESRI. The three GIS products that comprise ArcGIS -- ArcView, ArcEditor, and ArcInfo -- are built on a common interface and core capability, with each product offering a different level of functionality. Users of Getting to Know ArcGIS Desktop gain a thorough understanding of ArcView, which they can put to work immediately or use as a firm foundation for learning ArcEditor and ArcInfo. Getting to Know ArcGIS Desktop employs the teaching approach used so effectively in the best-selling Getting to Know ArcView GIS from ESRI Press. Richly detailed illustrations and step-by-step exercises teach basic GIS tasks -- from mapmaking, to spatial analysis, to database creation. Readers learn to use the software that forms the building blocks of ArcGIS: ArcMap, for displaying and querying maps; ArcCatalog, for managing geographic data; and ArcToolbox, for setting map projections and converting data. Also included in the book are explorations of the newest ESRI data format, the geodatabase, which stores spatial and attribute information in a relational database.Included with the book is a fully functioning 180-day trial version of ArcView 8 software on CD-ROM, as well as a CD of data for working through the book's exercises. PLEASE NOTE: The ArcGIS Demo Edition software on the CD in this edition requires the Microsoft Windows 2000, XP, or NT(Service Pack 6a) operating system. Hardware requirements: a minimum 450 MHz processing speed; 128 MB RAM; 800 MB hard disk space, including 50 MB on the operating system drive; an additional 215 MB hard disk space is required for the exercise data; exercise data.",,,"Restricted to U of T faculty, staff, and students.","Ornsby, Tim",,2001,,GEOGRAPHIC INFORMATION SYSTEMS,,,,,,Vector,,,,,,ESRI Press,None,None,,
154,Catalogue of Selected Regional Gravity and Magnetic Maps of Northern Alberta. Special Reprort 56.,,,,"Restricted to U of T faculty, staff, and students.",Alberta Energy and Utilities Board. Alberta Geological Survey.,,2003,ALBERTA,GRAVITY,2003,,Alberta Energy and Utilities Board. Alberta Geological Survey.,,,Vector,,,,,,,None,None,,2003
155,"Sand and Gravel Deposits with Aggregate Potential, Bitumount, Alberta NTS 74E Map 270",,,,"Restricted to U of T faculty, staff, and students.",Alberta Energy and Utilities Board. Alberta Geological Survey,,1916,ALBERTA,AGGREGATE RESOURCES,,,,,,Vector,,,,,,,Citation,None,,1916
156,Surficial Geology of the Peerless Lake Area (NTS 84B),"Maps 265, 266, 267, 268 133 megabytes",,,"Restricted to U of T faculty, staff, and students.",Alberta Energy and Utilities Board. Alberta Geological Survey.,,1997,ALBERTA,GEOLOGY,1997,,Alberta Energy and Utilities Board. Alberta Geological Survey.,,2001,Vector,,,http://ags.aer.ca/,,,,Citation,None,"1:100,000",1997 to 2001
157,"Orthorectified and Principal Component RADARSAT-1 Image Dataset for NTS 73M, Alberta","Image data contained on the two CDs are not fully calibrated. Radiometric and/or spatial accuracy is not guaranteed. The image dataset is in ER Mapper raster format. An ER Mapper raster dataset comprises two files: the dataset header file and the data file. The dataset header file is an ASCII file describing the raster data in the data file. It includes information on data type, coordinate system, cell size, bands, extent and other information. It may be viewed by a text editor, such as Wordpad or Notepad. The data file contains the data itself. The raster data are stored in a binary, Band-Interleaved-by-Line (BIL) format with a pixel data type defined in the accompanying header file. The image is in unsigned 8-bit integer format and projected to UTM zone 12 with a datum of NAD83. The pixel size is 12.5 m. There are two image datasets, one on each CD. The first CD contains the orthorectified NTS 73M image dataset, which includes four bands, or channels, to accommodate Standard Beam Mode 1 (S1) ascending/descending images and Standard Beam Mode 7 (S7) ascending/descending images. The second CD contains the orthorectified principal component (PC) NTS 73M image dataset, which includes four bands to accommodate the PC1, PC2, PC3 and PC4 images.",Disc 1 of 2,,"Restricted to U of T faculty, staff, and students.",Alberta Energy & Utilities Board. Alberta Geological Survey.,,2003,ALBERTA,AIR PHOTOS - COLOUR - ORTHORECTIFIED; METADATA; SATELLITE IMAGES,2003,,Alberta Energy & Utilities Board. Alberta Geological Survey.,,,Raster,NAD83,2003,,,UTM Zone 12N,,Citation,None,,2003
158,"Orthorectified and Principal Component RADARSAT-1 Image Dataset for NTS 73M, Alberta","Image data contained on the two CDs are not fully calibrated. Radiometric and/or spatial accuracy is not guaranteed. The image dataset is in ER Mapper raster format. An ER Mapper raster dataset comprises two files: the dataset header file and the data file. The dataset header file is an ASCII file describing the raster data in the data file. It includes information on data type, coordinate system, cell size, bands, extent and other information. It may be viewed by a text editor, such as Wordpad or Notepad. The data file contains the data itself. The raster data are stored in a binary, Band-Interleaved-by-Line (BIL) format with a pixel data type defined in the accompanying header file. The image is in unsigned 8-bit integer format and projected to UTM zone 12 with a datum of NAD83. The pixel size is 12.5 m. There are two image datasets, one on each CD. The first CD contains the orthorectified NTS 73M image dataset, which includes four bands, or channels, to accommodate Standard Beam Mode 1 (S1) ascending/descending images and Standard Beam Mode 7 (S7) ascending/descending images. The second CD contains the orthorectified principal component (PC) NTS 73M image dataset, which includes four bands to accommodate the PC1, PC2, PC3 and PC4 images.",Disc 2 of 2,,"Restricted to U of T faculty, staff, and students.",Alberta Energy & Utilities Board. Alberta Geological Survey.,,2003,ALBERTA,AIR PHOTOS - COLOUR - ORTHORECTIFIED; METADATA; SATELLITE IMAGES,2003,,Alberta Energy & Utilities Board. Alberta Geological Survey.,,,Raster,NAD83,2003,,,UTM Zone 12N,,Citation,None,,2003
